NAME,IAU_ID,ALT_NAME,RA,DEC,PSG_TYPE_1,PSG_TYPE_2,CATEGORY_1,CATEGORY_2,MORPHTYPE,EGIS,EGIPS,REFERENCE,LINKS,PGC,RA_LEDA,DEC_LEDA,MORPHTYPE_LEDA,D25_LEDA,REDSHIFT_LEDA,NED_NAME,REDSHIFT_NED,J_MAG_NED,H_MAG_NED,Ks_MAG_NED,SGA_ID,RA_SGA,DEC_SGA,G_MAG_SB26_SGA,G_MAG_SB26_ERR_SGA,R_MAG_SB26_SGA,R_MAG_SB26_ERR_SGA,Z_MAG_SB26_SGA,Z_MAG_SB26_ERR_SGA,D26_SGA,D26_REF,PHDEP_G,PHDEP_R,PHDEP_I,PHDEP_Z,PHDEP_GR,PHDEP_ALL,G_MAG_ASYM_IRAF,G_MAG_ASYM_ERR_IRAF,G_MAG_SB26_IRAF,R26_G_IRAF,R26_G_ERR_IRAF,G_MAG_OUTER_IRAF,R_G_IRAF,R_MAG_ASYM_IRAF,R_MAG_ASYM_ERR_IRAF,R_MAG_SB26_IRAF,R26_R_IRAF,R26_R_ERR_IRAF,R_MAG_OUTER_IRAF,R_R_IRAF,I_MAG_ASYM_IRAF,I_MAG_ASYM_ERR_IRAF,I_MAG_SB26_IRAF,R26_I_IRAF,R26_I_ERR_IRAF,I_MAG_OUTER_IRAF,R_I_IRAF,Z_MAG_ASYM_IRAF,Z_MAG_ASYM_ERR_IRAF,Z_MAG_SB26_IRAF,R26_Z_IRAF,R26_Z_ERR_IRAF,Z_MAG_OUTER_IRAF,R_Z_IRAF,PA_SB26_GR,SMA_SB26_GR,SMB_SB26_GR,G_MAG_SB26_GR,R_MAG_SB26_GR,I_MAG_SB26_GR,Z_MAG_SB26_GR,W1_MAG_IRSA,W1_MAG_ERR_IRSA,W2_MAG_IRSA,W2_MAG_ERR_IRSA,W3_MAG_IRSA,W3_MAG_ERR_IRSA,W4_MAG_IRSA,W4_MAG_ERR_IRSA,A_G,A_R,A_I,A_Z,A_J,A_H,A_Ks,SDSS_SPEC_REDSHIFT,DR10_SPEC_REDSHIFT,DR10_PHOT_REDSHIFT,DR10_PHOT_REDSHIFT_I,DR9_PHOT_REDSHIFT,REDSHIFT,REDSHIFT_SOURCE,DA,SCALE,DL,KCOR_G,KCOR_R,KCOR_I,KCOR_Z,KCOR_J,KCOR_H,KCOR_Ks,KCOR_W1,KCOR_W2,KCOR_W3,KCOR_W4,M_G,M_R,M_I,M_Z,M_J,M_H,M_Ks,M_W1,M_W2,M_W3,M_W4,PHYS_SMA_SB26,LOGMSTAR_WISE,LOGSFR_WISE
,,,deg,deg,,,,,,,,,,,deg,deg,,arcmin,,,,mag,mag,mag,,deg,deg,mag,mag,mag,mag,mag,mag,arcmin,,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag,mag,mag,arcmin,arcmin,mag,arcmin,mag,mag,mag,arcmin,arcmin,mag,arcmin,mag,mag,mag,arcmin,arcmin,mag,arcmin,mag,mag,mag,arcmin,arcmin,mag,arcmin,deg,arcmin,arcmin,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,,,,,,,,Mpc,kpc/arcsec,Mpc,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,kpc,dex (log10 Msun),dex (log10 Msun/yr)
PGC732098,J011850.64-291213.9,PGC732098,19.7109807,-29.2038706,PR,PTS,Polar_Tilted Rings,Polar_Tilted Tidal Structures,S0-a,,,,,732098,19.7110830,-29.2039444,,0.3388,0.120100,,,,,,1410575,19.7109771,-29.2038743,17.382,0.008,16.392,0.012,15.664,0.017,0.5041,SB26,29.269,28.917,28.133,27.697,29.431,28.961,17.146,0.059,17.369,0.2257,0.0158,17.146,0.7239,16.1860,0.0350,16.3070,0.3244,0.0028,16.1850,0.7239,15.786,0.046,15.856,0.3592,0.0245,15.775,0.7239,15.516,0.054,15.571,0.3568,0.0416,15.497,0.7239,69.73,0.2942,0.1984,17.296,16.323,15.887,15.608,13.357,0.025,13.173,0.027,11.395,0.18,9.157,,0.055,0.036,0.026,0.020,0.012,0.007,0.005,,,0.126734,0.126356,0.124614,0.120100,REDSHIFT_LEDA,463.12,2.245,581.04,0.296,0.099,0.049,0.022,,,,0.000,0.000,0.000,0.000,-21.803,-22.649,-23.040,-23.292,,,,-25.464,-25.648,-27.426,-29.664,43.70,11.083,0.605
PGC1824061,J011853.97+280106.3,PGC1824061,19.7248664,28.0184233,PR,,Polar_Tilted Rings,,S,,,,,1824061,19.7246670,28.0185833,,0.3631,,,,,,,686705,19.7248811,28.0184319,17.128,0.016,16.382,0.018,15.833,0.017,0.7228,SB26,28.934,28.230,,27.037,28.860,28.157,16.986,0.055,17.119,0.2784,0.0206,16.979,0.8644,16.2910,0.0500,16.3620,0.3533,0.0518,16.2910,0.8644,,,,,,,,15.785,0.081,15.819,0.3673,0.1873,15.799,0.8644,49.27,0.3497,0.1598,17.072,16.361,,15.837,14.326,0.052,14.115,0.065,10.687,0.113,8.327,,0.196,0.129,0.093,0.070,0.043,0.027,0.018,,,0.054813,,0.060260,0.054813,DR10_PHOT_REDSHIFT,228.11,1.106,253.81,0.091,0.045,,0.006,,,,0.000,0.000,0.000,0.000,-20.191,-20.835,,-21.280,,,,-22.697,-22.908,-26.336,-28.696,23.44,9.967,0.251
PGC1180460,J011906.27+005755.9,PGC1180460,19.7761149,0.9655283,PTS,,Polar_Tilted Tidal Structures,,S0-a,,EGIPS J011906.2+005756,Mosenkov et al. (2024),https://ui.adsabs.harvard.edu/#abs/2024A%26A...681L..15M/abstract,1180460,19.7761695,0.9655145,Sa,0.6561,0.045297,2MFGC 00990,0.045300,13.32,12.574,12.052,671674,19.7761115,0.9655413,16.286,0.025,15.357,0.028,14.594,0.033,1.0676,SB26,29.566,28.816,28.213,27.910,29.441,29.074,16.283,0.009,16.316,0.4488,0.0120,16.267,0.8392,15.3850,0.0120,15.4280,0.3575,0.0302,15.3820,0.8392,14.985,0.025,15.009,0.3658,0.0274,14.983,0.8392,14.684,0.012,14.706,0.4154,0.0381,14.689,0.8392,163.01,0.3410,0.1663,16.296,15.431,15.024,14.724,11.989,0.022,11.798,0.021,8.165,0.021,6.182,0.049,0.124,0.081,0.059,0.044,0.027,0.017,0.012,0.045298,0.045298,0.038206,0.039443,0.039907,0.045298,SDSS_SPEC_REDSHIFT,190.67,0.924,208.34,0.098,0.044,0.036,0.017,-0.027,-0.022,-0.033,0.000,0.000,0.000,0.000,-20.500,-21.291,-21.680,-21.949,-23.274,-24.015,-24.521,-24.605,-24.796,-28.429,-30.412,19.82,10.737,0.879
PGC004786,J011956.70-341538.8,PGC004786,19.9862358,-34.2607736,PTS,PDL,Polar_Tilted Tidal Structures,Polar_Tilted Dust Lanes,S,,,,,664852,19.9859760,-34.2607936,S0-a,0.5559,0.018836,GALEXASC J011956.84-341537.8,0.018583,,,,881251,19.9862388,-34.2607837,15.450,0.017,14.666,0.019,14.069,0.021,1.7160,SB26,29.261,28.873,28.159,27.515,29.405,28.811,15.092,0.023,15.254,0.5698,0.0126,15.052,1.5157,14.2800,0.0150,14.3640,0.6757,0.0163,14.2340,1.5157,13.914,0.024,13.951,0.7760,0.0493,13.858,1.5157,13.656,0.038,13.704,0.8060,0.1097,13.636,1.5157,52.88,0.6099,0.5035,15.196,14.359,13.975,13.732,11.957,0.024,12.012,0.023,10.445,0.072,8.632,,0.093,0.061,0.044,0.033,0.020,0.013,0.009,,,0.044150,0.048280,0.042875,0.018583,REDSHIFT_NED,80.79,0.392,83.82,0.029,0.019,0.020,0.010,,,,0.000,0.000,0.000,0.000,-19.485,-20.333,-20.730,-20.956,,,,-22.660,-22.605,-24.172,-25.985,15.89,10.043,-0.741
PGC1269918,J012007.42+043333.7,EGIPS_J012007.4+043334,20.0309271,4.5593662,PTS,,Polar_Tilted Tidal Structures,,S,,EGIPS J012007.4+043334,,,1269918,20.0308545,4.5595498,,0.7586,,2MFGC 01006,,,,,504577,20.0309271,4.5593662,16.350,0.021,15.472,0.025,14.756,0.030,,,29.285,28.992,28.305,27.805,29.498,29.056,16.327,0.020,16.462,0.4916,0.0159,16.307,1.2694,15.5340,0.0110,15.6130,0.5384,0.0052,15.5190,1.2694,15.139,0.047,15.214,0.4715,0.0338,15.089,1.2694,14.833,0.055,14.902,0.5111,0.1038,14.799,1.2694,10.15,0.5130,0.1565,16.407,15.601,15.206,14.911,12.491,0.023,12.351,0.024,9.317,0.037,7.453,0.121,0.100,0.066,0.048,0.036,0.022,0.014,0.009,,,0.039688,0.036512,0.036962,0.036512,DR10_PHOT_REDSHIFT_I,155.32,0.753,166.87,0.073,0.036,0.030,0.015,,,,0.000,0.000,0.000,0.000,-19.823,-20.601,-20.976,-21.261,,,,-23.621,-23.761,-26.795,-28.659,24.32,10.361,0.237
PGC090538,J012023.23-123146.9,PGC090538,20.0967825,-12.5296988,EW,,Extreme Disk Tilts_Warps,,S,,EGIPS J012023.2-123146,,,90538,20.0968335,-12.5294844,Sc,0.9441,0.052263,FGC 0152,0.052263,13.906,12.921,12.573,968815,20.0967825,-12.5296338,16.761,0.012,15.920,0.013,15.202,0.013,1.3641,SB26,28.984,28.483,27.806,27.448,29.040,28.645,16.755,0.036,16.869,0.4599,0.0582,16.750,1.3075,15.9830,0.0270,16.0320,0.5258,0.0610,15.9800,1.3075,15.612,0.031,15.640,0.5779,0.0984,15.612,1.3075,15.305,0.035,15.333,0.5438,0.1309,15.304,1.3075,49.64,0.5246,0.1303,16.795,16.009,15.629,15.324,12.794,0.024,12.676,0.026,9.377,0.038,7.693,0.182,0.082,0.054,0.039,0.029,0.018,0.011,0.008,,,0.041504,0.039311,0.042335,0.052263,REDSHIFT_NED,218.16,1.058,241.56,0.109,0.049,0.031,0.016,-0.033,-0.026,-0.086,0.000,0.000,0.000,0.000,-20.237,-20.986,-21.345,-21.627,-22.994,-23.979,-24.264,-24.121,-24.239,-27.538,-29.222,33.38,10.568,0.443
PGC133806,J012100.68-264910.9,PGC133806,20.2528172,-26.8197078,PR,PTS,Polar_Tilted Rings,Polar_Tilted Tidal Structures,E,,,,,133806,20.2526460,-26.8195556,Sab,0.8375,0.053327,,,,,,423574,20.2528257,-26.8196719,15.399,0.007,14.541,0.007,13.816,0.011,1.4731,SB26,29.535,29.262,28.668,27.820,29.756,29.166,15.404,0.016,15.478,0.5668,0.0307,15.382,1.3467,14.5270,0.0090,14.5890,0.5581,0.0117,14.5160,1.3467,14.129,0.012,14.171,0.6884,0.0497,14.125,1.3467,13.827,0.018,13.852,0.7331,0.0409,13.828,1.3467,159.00,0.5524,0.3990,15.444,14.589,14.192,13.880,11.871,0.024,11.799,0.023,8.981,0.027,7.435,0.113,0.051,0.034,0.024,0.018,0.011,0.007,0.005,,,0.072039,0.073433,0.081869,0.053327,REDSHIFT_LEDA,222.32,1.078,246.67,0.121,0.051,0.038,0.018,,,,0.000,0.000,0.000,0.000,-21.655,-22.457,-22.852,-23.145,,,,-25.090,-25.162,-27.980,-29.526,36.10,10.972,0.555
NGC0481,J012112.51-091240.3,NGC0481,20.3021326,-9.2111896,PR,PTS,Polar_Tilted Rings,Polar_Tilted Tidal Structures,M,,,,,4899,20.3020380,-9.2112000,E-S0,1.4555,0.018453,NGC 0481,0.018456,10.69,10.088,9.779,788385,20.3021408,-9.2111915,13.278,0.009,12.494,0.010,11.883,0.007,2.4148,SB26,28.566,28.037,27.668,27.278,28.616,28.427,13.226,0.025,13.281,1.1274,0.1368,13.227,3.1736,12.4620,0.0190,12.4770,1.3185,0.2433,12.4540,3.1736,12.093,0.021,12.111,1.3813,0.1093,12.098,3.1736,11.842,0.021,11.853,1.4772,0.2108,11.850,3.1736,138.06,1.2820,0.8651,13.258,12.477,12.117,11.865,10.355,0.023,10.41,0.019,9.788,0.048,8.818,0.475,0.109,0.072,0.052,0.039,0.024,0.015,0.010,,,0.015158,0.015197,0.015345,0.018456,REDSHIFT_NED,80.25,0.389,83.24,0.029,0.019,0.018,0.009,-0.016,-0.023,-0.033,0.000,0.000,0.000,0.000,-21.459,-22.216,-22.561,-22.797,-23.920,-24.506,-24.800,-24.247,-24.192,-24.814,-25.784,30.77,10.677,-0.815
ESO352-051,J012113.43-362821.4,ESO352-051,20.3059669,-36.4726117,PDL,PTS,Polar_Tilted Dust Lanes,Polar_Tilted Tidal Structures,M,,,,,4900,20.3060910,-36.4725616,E-S0,1.0641,0.019759,ESO 352- G 051,0.019760,11.834,11.03,10.876,1315039,20.3059717,-36.4726152,14.266,0.005,13.477,0.006,12.926,0.007,2.0304,SB26,29.405,28.862,28.207,27.592,29.439,28.880,14.173,0.016,14.257,0.9713,0.0147,14.110,2.9043,13.4030,0.0130,13.4320,1.2291,0.1038,13.3420,2.9043,13.058,0.018,13.072,1.3454,0.0652,13.004,2.9043,12.852,0.028,12.843,1.4052,0.1288,12.801,2.9043,148.25,1.1622,0.6683,14.211,13.442,13.097,12.879,11.612,0.023,11.672,0.021,10.787,0.091,8.743,,0.055,0.036,0.026,0.020,0.012,0.008,0.005,,,0.019744,0.018364,0.017244,0.019760,REDSHIFT_NED,85.78,0.416,89.21,0.032,0.021,0.019,0.010,-0.014,-0.018,-0.055,0.000,0.000,0.000,0.000,-20.582,-21.377,-21.725,-21.939,-22.916,-23.712,-23.826,-23.140,-23.080,-23.965,-26.009,30.68,10.236,-0.732
SPRC76,J012129.32+003728.7,SPRC76,20.3721729,0.6246291,PTS,PTS,Forming Polar_Tilted Rings,Polar_Tilted Tidal Structures,M,,,Moiseev et al. (2011),https://ui.adsabs.harvard.edu/#abs/2011MNRAS.418..244M/abstract,,20.3721500,0.6246900,,,0.043744,SPRC 076,0.043744,,,,,,,,,,,,,,,29.648,28.967,28.410,28.097,29.572,29.253,17.354,0.036,17.538,0.2190,0.0050,17.340,0.7239,16.7870,0.0290,16.7950,0.2617,0.0619,22.0620,0.7239,16.382,0.053,16.460,0.2937,0.0153,16.353,0.7239,16.129,0.064,16.239,0.2889,0.0351,16.116,0.7239,179.94,0.2903,0.1675,17.405,16.701,16.388,16.170,14.109,0.027,13.955,0.04,10.921,0.113,8.221,,0.118,0.078,0.056,0.042,0.026,0.016,0.011,0.043744,0.043744,0.077049,0.078140,0.085305,0.043744,SDSS_SPEC_REDSHIFT,184.47,0.894,200.97,0.077,0.040,0.016,0.009,,,,0.000,0.000,0.000,0.000,-19.173,-19.839,-20.128,-20.328,,,,-22.407,-22.561,-25.595,-28.295,14.04,9.871,0.104
UGC00900,J012135.17+234533.7,UGC00900,20.3965576,23.7593600,PTS,,Polar_Tilted Tidal Structures,,S,,,,,4931,20.3965005,23.7593056,Sab,1.2972,0.039054,UGC 00900,0.039054,11.631,10.993,10.579,773357,20.3964787,23.7593285,14.564,0.004,13.637,0.003,12.891,0.003,1.5031,SB26,29.223,28.206,,27.347,28.880,28.414,14.525,0.017,14.623,0.6702,0.0108,14.478,1.9201,13.5830,0.0160,13.6340,0.8942,0.0618,13.5450,1.9201,,,,,,,,12.852,0.025,12.860,1.0485,0.1920,12.810,1.9201,2.04,0.7819,0.6310,14.540,13.600,,12.859,11.197,0.022,11.222,0.021,9.626,0.039,8.047,0.18,0.230,0.151,0.110,0.083,0.051,0.031,0.022,,,0.032221,,0.029226,0.039054,REDSHIFT_NED,165.63,0.803,178.82,0.080,0.038,,0.016,-0.030,-0.033,-0.048,0.000,0.000,0.000,0.000,-21.949,-22.817,,-23.501,-24.652,-25.267,-25.657,-25.065,-25.040,-26.636,-28.215,43.08,10.994,0.075
PGC596782,J012137.12-393337.2,PGC596782,20.4046811,-39.5603267,PTS,,Polar_Tilted Tidal Structures,,S,,,,,596782,20.4046455,-39.5603611,,0.4645,0.122541,WISEA J012137.07-393337.6,0.122541,13.969,13.345,12.763,1151999,20.4046747,-39.5603369,16.967,0.026,15.928,0.029,15.212,0.032,0.8019,SB26,29.328,28.971,28.179,27.494,29.487,28.812,16.860,0.052,17.062,0.3121,0.0052,16.830,0.8644,15.8840,0.0250,15.9900,0.3634,0.0044,15.8750,0.8644,15.461,0.037,15.535,0.3859,0.0258,15.442,0.8644,15.194,0.043,15.243,0.4848,0.0937,15.175,0.8644,116.97,0.3472,0.2013,16.975,15.968,15.537,15.249,13.113,0.026,12.981,0.03,11.314,0.135,8.26,,0.070,0.046,0.033,0.025,0.015,0.009,0.007,,,0.129767,0.129833,0.124751,0.122541,REDSHIFT_NED,471.22,2.285,593.78,0.314,0.106,0.052,0.023,-0.070,-0.033,-0.165,0.000,0.000,0.000,0.000,-22.190,-23.030,-23.418,-23.673,-24.844,-25.499,-25.947,-25.755,-25.887,-27.554,-30.608,49.82,11.217,0.951
PGC004953,J012145.56-033220.2,PGC004953,20.4398460,-3.5389439,PDL,PTS,Polar_Tilted Dust Lanes,Polar_Tilted Tidal Structures,E,,,,,4953,20.4399375,-3.5390000,S0-a,0.7413,0.029430,MCG -01-04-028,0.029430,12.583,11.973,11.463,170442,20.4398404,-3.5389612,15.216,0.005,14.407,0.006,13.797,0.007,1.1671,SB26,29.383,28.976,28.415,27.835,29.514,29.095,15.130,0.019,15.217,0.5001,0.0047,15.098,1.4716,14.3270,0.0140,14.3870,0.6033,0.0403,14.3060,1.4716,13.974,0.017,13.997,0.8056,0.0246,13.942,1.4716,13.721,0.023,13.746,0.7461,0.0808,13.701,1.4716,89.83,0.6042,0.3854,15.185,14.385,14.020,13.771,12.079,0.025,12.093,0.023,10.362,0.088,8.627,0.387,0.115,0.075,0.055,0.041,0.025,0.016,0.011,,,0.038338,0.034824,0.040398,0.029430,REDSHIFT_NED,126.27,0.612,133.81,0.055,0.030,0.025,0.012,-0.024,-0.030,-0.016,0.000,0.000,0.000,0.000,-20.585,-21.350,-21.715,-21.939,-23.050,-23.645,-24.164,-23.553,-23.539,-25.270,-27.005,22.15,10.386,-0.368
PGC868668,J012149.50-182341.4,PGC868668,20.4562668,-18.3948242,PTS,,Polar_Tilted Tidal Structures,,S,,,,,868668,20.4561150,-18.3949780,,0.4989,0.097026,WISEA J012149.49-182341.5,0.097024,13.617,13.083,12.476,67619,20.4562475,-18.3948463,16.340,0.018,15.514,0.020,14.898,0.025,0.7566,SB26,29.352,29.082,28.539,27.774,29.580,29.087,16.246,0.023,16.360,0.2809,0.0297,16.232,0.7680,15.4270,0.0150,15.5090,0.3066,0.0210,15.4220,0.7680,15.086,0.017,15.138,0.3394,0.0274,15.068,0.7680,14.821,0.027,14.866,0.4001,0.0401,14.818,0.7680,103.66,0.3100,0.2687,16.318,15.505,15.149,14.898,12.601,0.023,12.377,0.024,9.667,0.05,7.916,0.197,0.096,0.063,0.046,0.034,0.021,0.013,0.009,,,0.061217,0.058233,0.064527,0.097024,REDSHIFT_NED,384.22,1.863,462.40,0.185,0.066,0.012,0.006,-0.076,-0.056,-0.103,0.000,0.000,0.000,0.000,-22.246,-22.945,-23.245,-23.499,-24.653,-25.199,-25.755,-25.724,-25.948,-28.658,-30.409,34.27,11.174,0.878
ESO352-057,J012202.40-341148.2,ESO352-057,20.5099872,-34.1967233,PR,,Face-on Polar_Tilted Rings,,S,,,,,4972,20.5098165,-34.1967093,S0,1.0399,0.018960,ESO 352- G 057,0.018963,11.706,11.01,10.786,447058,20.5099827,-34.1967357,14.273,0.010,13.455,0.012,12.869,0.013,2.2108,SB26,29.291,28.993,28.283,27.529,29.495,28.855,14.355,0.014,14.410,0.7516,0.0451,14.308,2.3614,13.5490,0.0090,13.5530,1.0850,0.0498,13.5060,2.3614,13.188,0.012,13.174,1.3227,0.0628,13.147,2.3614,12.945,0.015,12.936,1.1516,0.1170,12.916,2.3614,120.53,0.9548,0.4442,14.360,13.551,13.188,12.946,11.231,0.022,11.287,0.021,10.627,0.082,8.649,,0.092,0.060,0.044,0.033,0.020,0.012,0.009,,,0.021754,0.021294,0.020548,0.018963,REDSHIFT_NED,82.40,0.400,85.56,0.030,0.019,0.019,0.010,-0.014,-0.019,-0.044,0.000,0.000,0.000,0.000,-20.373,-21.187,-21.550,-21.768,-22.961,-23.644,-23.840,-23.430,-23.374,-24.034,-26.012,26.04,10.351,-0.731
PGC669503,J012202.81-335604.4,PGC669503,20.5117225,-33.9345604,PDL,,Polar_Tilted Dust Lanes,,E,,,,,669503,20.5116579,-33.9345731,,0.3467,0.120397,,,,,,1412077,20.5117057,-33.9345684,17.457,0.008,16.470,0.009,15.810,0.009,0.5974,SB26,29.040,28.636,28.055,27.379,29.194,28.693,17.310,0.071,17.520,0.2537,0.0526,17.310,0.8148,16.3510,0.0430,16.4610,0.3647,0.0365,16.3520,0.8148,15.997,0.048,16.002,0.4277,0.0458,15.931,0.8148,15.677,0.070,15.716,0.4714,0.0686,15.675,0.8148,172.35,0.3264,0.1678,17.427,16.458,16.043,15.773,13.839,0.039,13.614,0.044,11.865,0.31,8.455,,0.103,0.068,0.049,0.037,0.023,0.014,0.010,,0.120460,0.122291,0.126023,0.116652,0.120397,REDSHIFT_LEDA,464.11,2.250,582.59,0.286,0.096,0.041,0.017,,,,0.000,0.000,0.000,0.000,-21.696,-22.530,-22.915,-23.165,,,,-24.988,-25.213,-26.962,-30.372,49.23,10.879,0.864
PGC1040484,J012206.04-054653.9,EGIPS_J012206.0-054653,20.5251829,-5.7816467,PTS,,Polar_Tilted Tidal Structures,,S,,EGIPS J012206.0-054653,,,1040484,20.5251255,-5.7816111,,0.3802,,,,,,,145165,20.5251829,-5.7816467,17.557,0.037,16.731,0.040,16.002,0.042,,,29.301,29.027,28.347,27.762,29.519,29.033,17.795,0.024,17.864,0.2204,0.0046,17.779,0.5715,16.9710,0.0320,17.0290,0.1952,0.0260,16.9610,0.5715,16.582,0.040,16.627,0.2305,0.0329,16.576,0.5715,16.300,0.047,16.333,0.2403,0.0574,16.300,0.5715,177.20,0.2308,0.0937,17.835,17.029,16.643,16.352,13.595,0.025,13.383,0.032,9.553,0.051,7.742,0.228,0.131,0.086,0.062,0.047,0.029,0.018,0.012,,,0.057278,0.074669,0.066036,0.074669,DR10_PHOT_REDSHIFT_I,303.52,1.472,350.54,0.151,0.060,0.026,0.013,,,,0.000,0.000,0.000,0.000,-20.142,-20.841,-21.185,-21.451,,,,-24.129,-24.341,-28.171,-29.982,17.24,10.540,0.721
PGC1452873,J012214.70+141402.8,PGC1452873,20.5612467,14.2341007,PDL,,Polar_Tilted Dust Lanes,,E,,,,,1452873,20.5611855,14.2340668,E?,0.5521,0.053387,WISEA J012214.69+141401.7,0.053381,13.386,12.778,12.567,205003,20.5612552,14.2341100,16.396,0.010,15.431,0.010,14.707,0.011,0.8862,SB26,28.979,28.527,,27.534,29.093,28.597,16.303,0.043,16.433,0.3494,0.0376,16.305,0.9729,15.3500,0.0270,15.4160,0.4200,0.0429,15.3500,0.9729,,,,,,,,14.642,0.034,14.671,0.4944,0.0746,14.647,0.9729,110.74,0.3928,0.2721,16.391,15.428,,14.705,12.97,0.032,12.961,0.037,11.588,0.266,8.6,,0.114,0.075,0.054,0.041,0.025,0.015,0.011,0.053381,0.053381,0.075021,,0.058523,0.053381,SDSS_SPEC_REDSHIFT,222.53,1.079,246.93,0.122,0.051,,0.019,-0.041,-0.039,-0.121,0.000,0.000,0.000,0.000,-20.766,-21.673,,-22.352,-23.561,-24.161,-24.286,-23.993,-24.002,-25.375,-28.363,27.19,10.554,0.129
PGC352992,J012215.11-614322.7,PGC352992,20.5629674,-61.7229744,PTS,,Polar_Tilted Tidal Structures,,S,,,,,352992,20.5627500,-61.7230278,,0.6166,,,,,,,1329057,20.5629624,-61.7229708,17.130,0.014,16.308,0.017,15.689,0.023,0.9605,SB26,29.192,29.015,28.370,27.698,29.469,28.997,16.950,0.041,17.151,0.3238,0.0169,16.961,0.7910,16.1600,0.0230,16.3150,0.3342,0.0012,16.1690,0.7910,15.843,0.029,15.940,0.3355,0.0108,15.838,0.7910,15.578,0.068,15.668,0.3909,0.0515,15.580,0.7910,61.03,0.3167,0.1727,17.094,16.316,15.950,15.701,13.483,0.025,13.274,0.028,10.148,0.052,8.168,,0.081,0.053,0.039,0.029,0.018,0.011,0.008,,,0.089564,0.093856,0.084690,0.093856,DR10_PHOT_REDSHIFT_I,373.05,1.809,446.36,0.169,0.061,0.011,0.005,,,,0.000,0.000,0.000,0.000,-21.347,-22.047,-22.358,-22.614,,,,-24.765,-24.974,-28.100,-30.080,36.27,10.795,0.758
PGC681625,J012232.26-330338.9,PGC681625,20.6344088,-33.0607931,PTS,,Polar_Tilted Tidal Structures,,E,,,,,681625,20.6344995,-33.0608333,,0.3673,0.070492,WISEA J012232.26-330338.8,0.070600,14.07,13.445,12.807,795527,20.6344023,-33.0607951,16.860,0.010,15.950,0.014,15.319,0.016,0.4695,SB26,29.303,28.976,28.310,27.751,29.491,29.034,16.785,0.022,16.884,0.2316,0.0115,16.767,0.7028,15.8930,0.0150,15.9490,0.3008,0.0063,15.8750,0.7028,15.531,0.017,15.566,0.3358,0.0138,15.514,0.7028,15.248,0.028,15.283,0.3517,0.0643,15.235,0.7028,21.93,0.2842,0.1678,16.759,15.860,15.488,15.215,13.075,0.024,13.011,0.027,11.86,0.205,9.258,,0.097,0.064,0.046,0.035,0.021,0.013,0.009,,,0.076307,0.077517,0.075183,0.070600,REDSHIFT_NED,288.36,1.398,330.52,0.169,0.065,0.039,0.017,-0.048,-0.036,-0.045,0.000,0.000,0.000,0.000,-20.978,-21.776,-22.115,-22.365,-23.499,-24.128,-24.753,-24.521,-24.585,-25.736,-28.338,25.23,10.747,0.120
PGC642714,J012243.30-355628.1,PGC642714,20.6804157,-35.9411456,PTS,,Polar_Tilted Tidal Structures,,S,,,,,642714,20.6805840,-35.9411111,,0.4571,,,,,,,161147,20.6804393,-35.9411519,16.392,0.007,15.728,0.008,15.258,0.010,0.6028,SB26,29.382,28.836,28.296,27.664,29.410,28.951,16.323,0.020,16.395,0.3104,0.0707,16.321,0.8644,15.6700,0.0180,15.7090,0.3778,0.0168,15.6680,0.8644,15.391,0.024,15.421,0.4030,0.0573,15.391,0.8644,15.192,0.036,15.218,0.3722,0.0567,15.198,0.8644,22.27,0.3477,0.1918,16.373,15.717,15.434,15.234,13.078,0.024,12.984,0.026,9.455,0.035,7.893,0.162,0.086,0.057,0.041,0.031,0.019,0.012,0.008,,,0.034609,0.033673,0.032471,0.033673,DR10_PHOT_REDSHIFT_I,143.74,0.697,153.58,0.053,0.033,0.012,0.008,,,,0.000,0.000,0.000,0.000,-19.676,-20.313,-20.564,-20.753,,,,-22.854,-22.948,-26.477,-28.039,15.80,10.070,0.010
